ledger_name;GAAP Adjustment (ledger_accounting_basis);Common (ledger_accounting_basis);Nominal Event (ledger_accounting_basis);Adjustment (ledger_type);Money (ledger_type);Position (ledger_type)
cb_payments_ledger_common_tax_lots;0;1;0;0;1;0
cb_global_ledger_crypto;0;0;1;0;0;1
cb_singapore_ledger_crypto;0;0;1;0;0;1
cb_germany_ledger_common_tax_lots;0;1;0;0;1;0
cb_germany_ledger_crypto;0;0;1;0;0;1
cci_ledger_common;0;1;0;0;1;0
cb_europe_ledger_gaap;1;0;0;1;0;0
cbau_ledger_common;0;1;0;0;1;0
cb_kenya_ledger_gaap;1;0;0;1;0;0
cbau_ledger_gaap;1;0;0;1;0;0
cb_kk_ledger_crypto;0;0;1;0;0;1
cb_europe_ledger_common;0;1;0;0;1;0
cb_global_ledger_common_tax_lots;0;1;0;0;1;0
cb_global_ledger_gaap;1;0;0;1;0;0
cb_ireland_ledger_crypto;0;0;1;0;0;1
cci_ledger_gaap;1;0;0;1;0;0
cb_kk_ledger_gaap;1;0;0;1;0;0
cctc_ledger_common_tax_lots;0;1;0;0;1;0
cb_inc_ledger_gaap;1;0;0;1;0;0
cb_payments_ledger_crypto;0;0;1;0;0;1
cb_inc_ledger_common;0;1;0;0;1;0
cb_uk_ledger_crypto;0;0;1;0;0;1
cctc_ledger_crypto;0;0;1;0;0;1
cb_uk_ledger_common_tax_lots;0;1;0;0;1;0
cb_payments_ledger_gaap;1;0;0;1;0;0
cb_inc_ledger_common_tax_lots;0;1;0;0;1;0
cb_germany_ledger_gaap;1;0;0;1;0;0
cb_ireland_ledger_gaap;1;0;0;1;0;0
cb_europe_ledger_crypto;0;0;1;0;0;1
cb_singapore_ledger_gaap;1;0;0;1;0;0
cb_kenya_ledger_crypto;0;0;1;0;0;1
cctc_ledger_gaap;1;0;0;1;0;0
cb_kenya_ledger_common_tax_lots;0;1;0;0;1;0
cb_uk_ledger_common;0;1;0;0;1;0
cctc_ledger_common;0;1;0;0;1;0
cbau_ledger_crypto;0;0;2;0;0;2
cb_kk_ledger_common_tax_lots;0;1;0;0;1;0
cb_ireland_ledger_common_tax_lots;0;1;0;0;1;0
cb_kenya_ledger_common;0;1;0;0;1;0
cb_europe_ledger_common_tax_lots;0;1;0;0;1;0
cci_ledger_crypto;0;0;1;0;0;1
cb_germany_ledger_common;0;1;0;0;1;0
cb_uk_ledger_gaap;1;0;0;1;0;0
cb_ireland_ledger_common;0;1;0;0;1;0
cb_global_ledger_common;0;1;0;0;1;0
cb_inc_ledger_crypto;0;0;1;0;0;1
cb_singapore_ledger_common;0;1;0;0;1;0
cbau_ledger_common_tax_lots;0;1;0;0;1;0
cci_ledger_common_tax_lots;0;1;0;0;1;0
cb_kk_ledger_common;0;1;0;0;1;0
cb_singapore_ledger_common_tax_lots;0;1;0;0;1;0
cb_payments_ledger_common;0;1;0;0;1;0
